  9.9376301003226675E-01   5.6643990649143072E-01   5.6684030774497296E-01   5.6123482773194899E-01
  1.5390787238177444E-03   1.6709725815436714E-04   4.2537797512292308E-01   9.0966892482153308E-05
  1.5368623724065307E-03   4.2584994687025457E-01   1.6349604707352439E-04   8.8959791949121326E-05
  1.5396227307762256E-03   6.1205484383622304E-05   6.0965407727031245E-05   4.3478867018148759E-01
  8.4983894979338309E-07   1.2380379279227025E-04   1.2317246253671513E-04   7.6874401968926823E-05
  1.1913055570455671E-06   2.3377103055003502E-04   2.4009429691294534E-04   1.6766848331652368E-04
  7.7910394142488602E-10   3.5236280471862680E-07   3.4378818458123397E-07   1.3004969802157300E-07
  5.6299876182990661E-10   1.8238728672222088E-07   2.0025371589534131E-07   4.8415285628320858E-07
  3.9848546864562518E-12   9.9488432529933044E-09   9.1504832141577035E-09   1.2010653406717945E-09
  1.6977752334183014E-10   7.9065502131223623E-08   6.6256692174195677E-08   1.2223502936309283E-07
  3.0600693104399606E-10   6.9247859466120077E-08   1.0676652784822307E-07   1.6440739478965438E-07
  8.4501790295795456E-09   5.4061908161055292E-07   6.2916341592425800E-07   2.1654225439845748E-06
  5.1922103567473852E-10   2.0289554888824341E-06   3.1190776489196929E-06   3.2877910298282867E-07
  5.0955526778422268E-10   3.2965073916237118E-06   2.5079116772057494E-06   2.9384110163365006E-07
  4.7588583798239200E-10   2.6273206782128317E-09   6.1320239833042414E-08   2.5468059591755854E-07
  3.0854347698934710E-08   5.6440264567175611E-07   6.3975394173490855E-07   2.9752086545125256E-05
  5.6415210467372712E-10   1.7484609516374071E-07   1.2222840213709718E-07   5.4304361076142559E-07
  5.2623853502433382E-10   8.4664112680959173E-08   8.6974086958161780E-08   1.1227931240938385E-07
  1.3048130049570817E-10   7.4483070190225395E-09   3.6626241114191900E-08   5.1463932705204991E-07
  1.3504593345659325E-11   8.4897289157240035E-09   9.6723165465376777E-11   2.3410591122488130E-08
  5.8393442632868443E-12   5.3412332713680093E-11   8.3143261555581247E-11   1.8722748786404738E-08
  1.2907511698033550E-11   1.9134185729688135E-09   8.4852455977799019E-09   1.0224117030175162E-12
  1.6412044546615306E-05   1.8909515161011212E-04   1.8992982827225035E-04   1.0670547322032518E-03
  5.5848274607437692E-07   3.7324271637165883E-05   3.8346849036042476E-05   6.8131185708951027E-05
  1.5832685132068029E-03   6.2335824160151170E-03   6.2947615045512665E-03   1.7828924533866593E-03
  1.8240517458692460E-05   4.8349682779550481E-04   4.8922744315124873E-04   4.2939341713266942E-04
  5.0304009798498959E-07   7.9456557846762578E-05   7.8635472988309457E-05   1.2488311821761262E-04
  2.3766436965895171E-07   7.3713933240713919E-05   7.4382704710918113E-05   7.4426322501716406E-06
  4.4521083662544779E-08   1.1639840112197858E-05   1.1859767365828787E-05   7.6332721594224456E-08
  7.6328518789779032E-08   8.5565348780458235E-06   8.9074114070429742E-06   3.7249692678495964E-05
